"date.obs" "id.stat" "lon.stat" "lat.stat" "forecast" "obs"
2000011400 2 44.88 -116.1 1014.837 1016.005
2000011400 3 47.2 -119.32 1012.708 1014.313
2000011400 5 46.14 -115.6 1013.023 1014.205
2000011400 4 42.58 -117.89 1012.043 1015.726
2000011400 8 46.1 -118.28 1010.477 1012.747
2000011400 9 47.53 -122.3 1006.733 1012.949
2000011400 10 48.8 -122.53 1009.385 1012.297
2000011400 11 48.12 -123.5 1008.503 1013.46
2000011400 12 47.97 -117.43 1015.171 1017.202
2000011400 13 47.03 -120.53 1012.798 1012.845
2000011400 14 48.52 -123.02 1009.132 1012.666
2000011400 15 45.53 -122.95 1005.121 1010.588
2000011400 16 45.83 -119.26 1011.405 1014.116
2000011400 17 42.15 -121.73 1007.059 1013.345
2000011400 19 47.45 -115.68 1015.327 1015.489
2000011400 20 45.19 -123.14 1004.897 1009.699
2000011400 21 48.46 -119.52 1015.247 1016.315
2000011400 6 47.95 -124.55 1006.176 1011.924
2000011400 22 44.02 -117.02 1016.238 1016.983
2000011400 23 47.9 -122.28 1007.525 1012.821
2000011400 24 46.27 -119.12 1011.933 1014.396
2000011400 25 46.75 -117.12 1012.953 1014.478
2000011400 26 43.23 -123.35 1002.751 1010.341
2000011400 27 47.5 -122.22 1006.639 1013.352
2000011400 28 47.68 -117.32 1014.47 1015.915
2000011400 29 45.77 -122.86 1005.266 1011.447
2000011400 30 47.27 -122.58 1006.576 1011.935
2000011400 31 45.55 -122.4 1005.448 1012.659
2000011400 32 45.25 -122.77 1004.815 1010.374
2000011400 33 45.62 -122.66 1005.22 1011.048
2000011400 34 47.4 -120.2 1013.879 1013.591
2000011400 7 43.58 -118.95 1012.276 1014.634
2000011400 35 43.42 -124.25 1002.124 1008.677
2000011400 37 42.37 -122.87 1003.494 1010.58
2000011400 41 46.92 -114.08 1016.765 1018.192
2000011400 38 47.63 -117.53 1014.463 1016.232
2000011400 39 43.57 -116.22 1016.584 1017.32
2000011400 42 45.6 -122.6 1005.257 1010.361
2000011400 40 45.68 -118.85 1010.675 1013.626
2000011400 45 45.52 -118.4 1011.838 1014.277
2000011400 51 46.57 -120.53 1012.843 1014.181
2000011400 52 44.12 -123.22 1004.121 1010.452
2000011400 44 44.92 -123 1004.372 1010.913
2000011400 58 46.38 -117.02 1012.386 1014.245
2000011400 50 47.23 -123.15 1006.43 1011.595
2000011400 55 47.45 -122.3 1006.575 1013.011
2000011400 47 47.28 -121.33 1011.221 1015.594
2000011400 64 45.62 -121.17 1010.51 1014.823
2000011400 48 40.9 -117.8 1012.955 1013.932
